author1_last_name,author1_first_name,author2_last_name,author2_first_name,editor1_last_name,editor1_first_name,title,original_date_of_publication,second_or_later_date_of_publication,volume,publisher,publisher_location,number_of_pages,dictation,name_of_transcriber,translation,name_of_translator,summary,occupations,date_of_birth,date_of_death,place_of_birth,other_places_lived
MAYBRICK,Florence Elizabeth,N/A,N/A,N/A,N/A,Mrs. Mavbrlck's Own Story,1904,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Trial and prison experiences; criticism of the proceedings against her.,N/A,N/A,N/A,N/A,N/A
MAYER,Sylvain,N/A,N/A,N/A,N/A,Reminiscences of a K. C.,1924,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"His career at the bar; legal anecdotes; mainly reminiscences of theatre and opera; Bernhardt, Irving, Patti, etc.; scrappy.",K.C.,N/A,N/A,N/A,N/A
MAYNARD,John,N/A,N/A,N/A,N/A,Remarkable Incidents in the Life,1900,N/A,N/A,Exeter P.L.,N/A,N/A,N/A,N/A,N/A,N/A,"Devonshire youth; conversion to Methodism; preaching in Cornwall, Devon, Jersey; his campaign against tobacco, drink, Bradlaugh and other vices.",Preacher,N/A,N/A,N/A,N/A
MAYNARD,Theodore,N/A,N/A,N/A,N/A,The World I Saw,1938,N/A,N/A,Milwaukee,N/A,N/A,N/A,N/A,N/A,N/A,Boyhood in India; Salvation Army; education in England; work as congregational minister and later poetical career in USA.,"Minister, Poet",N/A,N/A,N/A,N/A
MAYO,C. H. P.,N/A,N/A,N/A,N/A,Reminiscences of a Harrow Master,1928,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Career as teacher from 80's; school life, work, customs, etc.",Teacher,N/A,N/A,N/A,N/A
MAYO,Isabella Fyvie,N/A,N/A,N/A,N/A,Recollections during Fifty Years,1910,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Career as journalist and author; childhood and social life in London; religion, social problems, literary life and memories of eminent writers.","Journalist, Author",N/A,N/A,N/A,N/A
MEAD,Isaac,N/A,N/A,N/A,N/A,Life of an Essex Lad,1923,N/A,N/A,Chelmsford,N/A,N/A,N/A,N/A,N/A,N/A,"Labourer, farmer, miller, landowner; cottage life; farm work; doctrine; simple.","Labourer, Farmer, Miller, Landowner",N/A,N/A,N/A,N/A
MEADOWS,Lindon,N/A,N/A,N/A,N/A,College Recollections,1879,N/A,N/A,N/A,N/A,N/A,N/A,Charles Butler,N/A,N/A,"Life and work at theological training college; ordination; curate at St. Amore and Cheriton; parish life, ladies, work, social; humor of clerical life.",Cleric,N/A,N/A,N/A,N/A
Midleton,"W. St.John Brodrick, Earl",N/A,N/A,N/A,N/A,Records and Reactions,1939,N/A,N/A,Eton and Oxford,N/A,N/A,N/A,N/A,N/A,N/A,Parliamentary career from 1880 and work in the War Office; activities in Boer War and WW1; Lord Lieutenant of Ireland; conservative politics and public events.,Politician,N/A,N/A,N/A,N/A
Kieville,Sir Walter Frederick,N/A,N/A,N/A,N/A,Under Queen and Khedive,1899,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"His career in Egypt, 1874-95; consular officer; quarantine office; plagues; sanitary work; Sudan War; Egyptian society and his travels.",Consular officer,N/A,N/A,N/A,N/A
Anon,N/A,N/A,N/A,N/A,N/A,Military Service and Adventure in the Far East,1847,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Experiences of a cavalry officer; Afghan campaign of 1839; Sikh campaign, 1845.",Cavalry officer,N/A,N/A,N/A,N/A
Mill,John Stuart,N/A,N/A,N/A,N/A,Autobiography of,1873,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education; moral influences; travels; work with East India Company; utilitarian propaganda and writings; philosophy and intellectual development; Liberal ideas and friends; his achievements.,"Philosopher, economist",N/A,N/A,N/A,N/A
Mill,William Hodge,N/A,N/A,N/A,N/A,"Diary, 1820-22, 1828-29, 1837-38",N/A,N/A,N/A,"MS, Bodleian",N/A,N/A,N/A,N/A,N/A,N/A,"Clergyman's travels to, from, and in India; work as principal of Bishop's College, Calcutta.","Clergyman, educator",N/A,N/A,N/A,N/A
Hillais,John G.,N/A,N/A,N/A,N/A,Wanderings & Memories,1919,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Surrey naturalist's travels and sport; big game and natural history in the Highlands, Africa, and the Arctic; adventures.",Naturalist,N/A,N/A,N/A,N/A
MOORE,Rev. Thomas,N/A,N/A,N/A,N/A,"Diary, 1857-58; his experiences and events at Lucknow and Cawnpore during the Mutiny.",1857,N/A,N/A,MS,B. M. Add. 37151,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MOORHOUSE,Michael,N/A,N/A,N/A,N/A,"The Defence of (Leicester, 1789). Abandonment of his business to become Wesleyan preacher; travels in Ireland and England; Wesley and himself; criticism of the Methodist organization.",1789,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Wesleyan preacher,N/A,N/A,N/A,N/A
MORAN,Herbert M.,N/A,N/A,N/A,N/A,In Mr Fashion (L. 1946). Last ten years of cancer specialist; RAMC service; human weakness as seen from a Medical Board; medical corruption and inadequacy.,1946,N/A,N/A,N/A,L.,N/A,N/A,N/A,N/A,N/A,N/A,Cancer specialist,N/A,N/A,N/A,N/A
MORAY,Alastair,N/A,N/A,N/A,N/A,The Diary of a Rum Runner (1929). Snuggling liquor during Prohibition period; adventures; associates in New York art.,1929,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MORDAUNT,Elinor,N/A,N/A,N/A,N/A,Sinabada (1937). Family and childhood; literary life & her writing; her travels; psychological strain of continued writing; self-deprecating and self-conscious account of a writer's life and mind.,1937,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MORE,John,N/A,N/A,N/A,N/A,"With Allenby's Crusaders (1923). Cheerful narrative of service in Sinai and Palestine campaigns, WW1; desert warfare.",1923,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MORE,Martha,N/A,N/A,Roberts,Arthur,"Mendlp Annals. Autobiography, based on diary for 1789-98; charitable labours; foundation of schools in the mining villages of Somerset; influence of Wilberforce; her ideals.",1859,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MOREHEAD,Robert,N/A,N/A,N/A,N/A,Memorials of the Life and Writings (Edin. 1875). Youth of the Dean of Edinburgh to 1795; his education and reading; social life in Scotland.,1875,N/A,N/A,N/A,Edin.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MORESBY,Adm. John,N/A,N/A,N/A,N/A,Two Admirals (L. 1909). Consists mostly of his memories of his own career and life in the navy 1847-81.,1909,N/A,N/A,N/A,L.,N/A,N/A,N/A,N/A,N/A,N/A,Navy officer,N/A,N/A,N/A,N/A
MORGAN,Guy,N/A,N/A,N/A,N/A,"Only Ghosts Can Live (1945). Personal narrative, WW2; life in German and Italian camps for wounded prisoners.",1945,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MORGAN,J.,N/A,N/A,N/A,N/A,"Ministerial Experiences (1870?). Family life; religious work and ministry in Thornbury, Gloucestershire.",1870,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MORGAN,James,N/A,N/A,N/A,N/A,"Recollections of My Life (Belfast, 1874). Religious education and career in church; ministry in Lisburn and Belfast; Presbyterian life and beliefs.",1874,N/A,N/A,N/A,Belfast,N/A,N/A,N/A,N/A,N/A,N/A,Presbyterian minister,N/A,N/A,N/A,N/A
MORIER,James Justinian,N/A,N/A,N/A,N/A,"Diary 1808-1815; writer's travels in Persia and Asia Minor, India and Persian Gulf as secretary to British Embassy and minister to Persia; author of Hajji Baba A Journey through Persia (1812); Second Journey (1818).",1808,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MORLEY,Henry,N/A,N/A,N/A,N/A,"Early Papers and Some Memories (1891). Critic's memories of social, club, literary life, books in London.",1891,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Critic,N/A,N/A,N/A,N/A
MORLEY,Sgt. Stephen,N/A,N/A,N/A,N/A,"Memoirs of a Sergeant (Ashford, 1842). His military career; service in Hanover and South America; mostly his adventures in the Peninsular War.",1842,N/A,N/A,N/A,Ashford,N/A,N/A,N/A,N/A,N/A,N/A,Soldier,N/A,N/A,N/A,N/A
MORLEY,John Morley,Viscount,N/A,N/A,N/A,Recollections (1917). School and Oxford; literary and intellectual influences; work for Liberal Party and his career in Parliament; politics and public events and personalities.,1917,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Politician,N/A,N/A,N/A,N/A
MCRRIS,Marmaduke C. F.,N/A,N/A,N/A,N/A,"Yorkshire Reminiscences (1922). Boyhood in Yorks and coming of railways; Oxford; life as clergyman in East Riding; rector of Nunburnholme; Yorkshire life, people, customs, sport; excellent.",1922,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Clergyman,N/A,N/A,N/A,N/A
MORRIS,Maurice O'Connor,N/A,N/A,N/A,N/A,"Meminl (1892). Irish society, sport, industry and personalities from the 40's; work as civil servant; visits to England, West Indies, Germany.",1892,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Civil servant,N/A,N/A,N/A,N/A
MORRIS,Sgt. Thomas,N/A,N/A,N/A,N/A,"Recollections of Military Service (1845). Campaigns of the Peninsular War; Holland, France and Waterloo; infantry view.",1845,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Soldier,N/A,N/A,N/A,N/A
MORRIS,William O'Connor,N/A,N/A,N/A,N/A,"Memories and Thoughts (1895). Ireland and its history from 1845; legal career; county court Judge; society, church, Land League, National League, local government; political movements.",1895,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,County court Judge,N/A,N/A,N/A,N/A
MORRISON,Pearse,N/A,N/A,N/A,N/A,"Rambling Recollections (1905). Boyhood at Banff; London life and business; member of the City Corporation; City of London School; & commercial education, city life, clubs and conservative politics.",1905,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MORRISS,Henry F.,N/A,N/A,N/A,N/A,"Minister. Mayor & Merchant (1914); Cinderella Christian (Woldingham, 1936?). His business in London metal trade; his work in Sunday schools & missions; Mayor of Bermondsey; municipal politics; lively record of London life from 60's. Copy of the second book, Croydon P.L.",1914,1936,N/A,N/A,Woldingham,N/A,N/A,N/A,N/A,N/A,N/A,"Mayor, Merchant",N/A,N/A,N/A,N/A
MORSE,John,N/A,N/A,N/A,N/A,"Englishman in the Russian Ranks (1915). Military service, WW1; fighting in Poland against German invaders; vivid.",1915,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MORSE-BOYCOTT,Desmond,N/A,N/A,N/A,N/A,Ten Years in A Slum Parish (1929); We Do See Life of: Fields of Yesterday (1932). A pleasant childhood; religious training and ministry in slum parish of Somers Town; Edward Irving and the Apostolical Movement; Manning and Anglo-Catholicism; social work among the London poor; life of a clerical Micawber.,1929,1932,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MORTENSEN,Stanley,N/A,N/A,N/A,N/A,Football Is My Game (1949). Career of a celebrated association football player; boyhood games in South Shields; playing for England; simple.,1949,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Football player,N/A,N/A,N/A,N/A
MORTON,Charles,N/A,N/A,N/A,N/A,My Sixty Years of the Turf (1930). Work of a trainer and stories of the turf; his successes in the Derby and other races.,1930,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Horse trainer,N/A,N/A,N/A,N/A
MORTON,William,N/A,N/A,N/A,N/A,"I Remember (Hull, 1934). Printing in Yorks in 70's; work for solicitors; book and music seller; commercial work in theatre, London and Hull; Maskelyne and Cooke.",1934,N/A,N/A,N/A,Hull,N/A,N/A,N/A,N/A,N/A,N/A,"Printer, book seller",N/A,N/A,N/A,N/A
MORISON,Fynes,N/A,N/A,N/A,N/A,An Itinerary (1617). Ten years of travel in British Isles and all countries of Europe at end of 16th Century; Irish affairs; customs; social life; valuable.,1617,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MOSCHELES,Felix,N/A,N/A,N/A,N/A,"In Bohemia (1896); Fragments of an Autobiography (1899). Early life in Germany; work as painter in Germany and England; reminiscences, Mazzini, Rossini, Browning, etc.",1896,1899,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Painter,N/A,N/A,N/A,N/A
MOSELEY,Benjamin,N/A,N/A,N/A,N/A,"Family Memoirs. edited Sir Oswald Moseley (1849). This includes diary, 1781; voyage from Jamaica to England; brief.",1849,N/A,N/A,"William Salt Library, Stafford",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MOSELEY,Sydney Alexander,N/A,N/A,N/A,N/A,"The Truth About a Journalist (1935). His work on provincial and London newspapers; ups and downs; journalists, editors, celebrities; truth about schools of journalism.",1935,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Journalist,N/A,N/A,N/A,N/A
MOSS,Herbert James,N/A,N/A,N/A,N/A,Windjammer to Westminster (1941). His forty years at sea; military service in WW1; Parliamentary service as Member for Rutherglen; Conservative politics.,1941,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Politician, sailor",N/A,N/A,N/A,N/A
MOTHER SUPERIOR,N/A,N/A,N/A,N/A,N/A,Life of an Enclosed Nun (1910). Life as novice and nun in a Belgian convent in 80's; observance and spiritual life.,1910,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MOTT,Lt. Edward Spencer,N/A,N/A,N/A,N/A,A Mingled Yarn (1898). Misdeeds at Eton; military service in India; social life and sport; playwriting and acting in England; horseracing; sports journalism; Nathaniel Gubbins of the Pink Un; his life as a Victorian blood; good.,1898,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Military officer, journalist",N/A,N/A,N/A,N/A
MOTTISTONE,"John Edward Bernard Seely, Baron",N/A,N/A,N/A,N/A,"Adventure (1930); Fear and Be Slain (1931). Former War Secretary; adventures by land, sea and air; his school; Cambridge; service in Boer War and WW1; Peace conferences; Conservative M.P.s politics.",1930,1931,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Politician,N/A,N/A,N/A,N/A
MOTTRAM,Ralph Hale,N/A,N/A,N/A,N/A,Three Personal Records (1929); Autobiography (1938); Bowler Hat (1940). Personal narrative of WW1 service in France; people and places and his relation to them; work in a Norwich bank; the routine as seen by a clerk.,1929,1938,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Bank clerk, soldier",N/A,N/A,N/A,N/A
MOULE,Ven. Arthur Evans,N/A,N/A,N/A,N/A,"New China and Old (1892); Half a Century (1911). Recollections of his life and work as a missionary, 1861-1911; Archdeacon of Mid-China; educational work; T'ai-p'ing rebellion.",1892,1911,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Missionary,N/A,N/A,N/A,N/A
MOULE,George Evans,N/A,N/A,N/A,N/A,"A Retrospect of Sixty Years (Shanghai, 1907). Education at Cambridge; missionary work in China; Bishop of Shanghai; Chinese life and rebellions.",1907,N/A,N/A,N/A,Shanghai,N/A,N/A,N/A,N/A,N/A,N/A,"Bishop, missionary",N/A,N/A,N/A,N/A
MOSLEY,Leonard Oswald,N/A,N/A,N/A,N/A,"So Far. So Good (1937); Down Stream (1939). Work and travels as a Vicarage; memories of travels in Hollywood, Palestine, Spain, Germany; the political scene and movements for war; public events.",1937,1939,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MOUNT EDGCUMBE,"Richard Edgcumbe, 2nd Earl of",N/A,N/A,N/A,N/A,"Musical Reminiscences (1827). Memories of opera and music since his childhood; travels in Germany, France and Italy; rather impersonal.",1827,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Munn,Thomas,N/A,N/A,N/A,N/A,The Life,1750,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Highwayman who robbed the Yarmouth mail; confessions of a gentleman bricklayer before his hanging.,"Highwayman, Bricklayer",N/A,N/A,N/A,N/A
Munning,Sir Alfred J.,N/A,N/A,N/A,N/A,An Artist's Life,1950,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Nostalgic but lively account of his life to 1918; boyhood in East Anglia, schooling, family life & sport; commercial drawing & art training; painting of country life and animals; reading and literary tastes.",Artist,N/A,N/A,N/A,N/A
Munro,Sir David,N/A,N/A,N/A,N/A,It Passed Too Quickly,1941,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Scottish childhood and education in Scottish universities; a career in army and air-force from 1902 to his resignation; socialist work; life and politics.,Military Officer,N/A,N/A,N/A,N/A
Munro,Donald John,N/A,N/A,N/A,N/A,Roaring Forties,1929,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Highland boyhood; apprentice on clipper-ship; experiences as captain in the navy; Burmese War; interesting account of Burma.,Naval Captain,N/A,N/A,N/A,N/A
Murray,A. W.,N/A,N/A,N/A,N/A,Forty Years' Mission Work,1876,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"His life and work as a missionary in Samoa and New Guinea in 1835-75; missions, conversions, Bible translation.",Missionary,N/A,N/A,N/A,N/A
Munro,Neil,N/A,N/A,N/A,N/A,Brave Days,1931,N/A,N/A,N/A,Edinburgh,N/A,N/A,N/A,N/A,N/A,Reminiscences of Scottish life; work as law clerk; reporter on the Glasgow Evening News.,"Reporter, Law Clerk",N/A,N/A,N/A,N/A
Murray,Capt. Alexander,N/A,N/A,N/A,N/A,Doings in China,1843,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Experiences during the Chinese expedition to Chusan, 1841-2; Peace of Nankin.",Military Officer,N/A,N/A,N/A,N/A
Munro,Robert,N/A,N/A,N/A,N/A,Autobiographic Sketch,1921,N/A,N/A,Glasgow,N/A,N/A,N/A,N/A,N/A,N/A,"Education; effect of Darwin on him; medical study in Edinburgh in 60's; archaeological studies, travels and writings.","Medical Practitioner, Archaeologist",N/A,N/A,N/A,N/A
Murray,Amelia Matilda,N/A,N/A,N/A,N/A,Recollections,1868,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Life at court in time of George III, to coronation of Victoria; court personages.",N/A,N/A,N/A,N/A,N/A
Munro,Gen. William,N/A,N/A,N/A,N/A,Reminiscences of Military Service,1883,1887,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Military career, 1844 to 1881; Kaffir Wars; Indian Mutiny; Crimean War; campaigns and service as surgeon-general.",Surgeon-General,N/A,N/A,N/A,N/A
Munster,Wllhelmina,N/A,N/A,N/A,N/A,My Memories,1904,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Childhood; court of William IV; Kensington Palace and Queen Adelaide; life at court of Victoria; court and society.,N/A,N/A,N/A,N/A,N/A
Mure,Elizabeth,N/A,N/A,J. G.,Fyfe,Extracts in Scottish Diaries,1942,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Some observations of Ayrshire life in the 18th Century; changes of manners; a good picture of social life.,N/A,N/A,N/A,N/A,N/A
Murlin,John,N/A,N/A,Thanae,Jackson,Lives of Early Methodist Preachers,1837,N/A,II,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Life and ministry of itinerant Cornish preacher; Methodism in the South-West.,Preacher,N/A,N/A,N/A,N/A
Murphy,Arthur,N/A,N/A,Jesse,Foot,Life,1811,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Contains brief autobiography of family, education, legal practice and work as writer and playwright in the 18th Century; modeled on Hume.","Writer, Playwright",N/A,N/A,N/A,N/A
Murphy,Captain John Richard,N/A,N/A,N/A,N/A,Storm Along,1936,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lifetime at sea in sail and steam; voyages all over world and yarns of the sea.,Seafarer,N/A,N/A,N/A,N/A
Murphy,John T.,N/A,N/A,N/A,N/A,New Horizons,1941,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Poverty and working-class life in Manchester; trade union work; Russia in the 20's; work with Communist Party.,"Journalist, Political Activist",N/A,N/A,N/A,N/A
Murray,David Christie,N/A,N/A,N/A,N/A,Making of a Novelist,1894,1898,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Experiences contributing to his writing; army, travel, poor law, theatre; boyhood in printing office; Journalism in Midlands and for the Times and the Scotsman; a Parliamentary and War Correspondent; London literary life & friends; his novels.","Novelist, Journalist",N/A,N/A,N/A,N/A
Murray,Elizabeth,N/A,N/A,N/A,N/A,Sixteen Years of an Artist's Life,1859,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Her travels in Morocco, Spain, Canary Islands; art travel books, social life.",Artist,N/A,N/A,N/A,N/A
Murray,Harold,N/A,N/A,N/A,N/A,"Press, Pulpit, and Pew",1934,1946,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Work as religious journalist; English nonconformity; travels reporting religious events; reminiscences of people & places.,Journalist,N/A,N/A,N/A,N/A
Murray,Henry,N/A,N/A,N/A,N/A,A Stepson of Fortune,1909,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Career of Journalist and novelist; Harmsworth papers; London edition of N. Y. Herald; dramatic criticism; literary amanuensis; his books; literary friends.,"Journalist, Novelist",N/A,N/A,N/A,N/A
Murray,Sir John,N/A,N/A,R. F.,Bell,Memorials,1747,1898,N/A,N/A,Edinburgh,N/A,N/A,N/A,N/A,N/A,Secretary to Prince Charles Edward; negotiations with Jacobites; the rebellion; Culloden; his later travels.,Secretary,N/A,N/A,N/A,N/A
Murray,Lindley,N/A,N/A,N/A,N/A,Memoirs of the Life,1826,N/A,N/A,York,N/A,N/A,N/A,N/A,N/A,N/A,Youth in Pennsylvania; Quaker religious life in America and England; legal work; studies in science and grammar; autobiography mixed with reflections.,"Quaker, Legal Practitioner",N/A,N/A,N/A,N/A
Murray,Thomas,N/A,N/A,N/A,N/A,Reminiscences of a Journey from Edinburgh to London,1840,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Notes on M'Culloch the economist; his upbringing, education, teaching, writing in Scotland; Edinburgh life.","Economist, Teacher, Writer",N/A,N/A,N/A,Dumfriesshire and Galloway
Hurry,John Middleton,N/A,N/A,N/A,N/A,Between Two Worlds,1935,N/A,N/A,N/A,London,N/A,N/A,N/A,N/A,N/A,"Literature and sex; his reading and writing; literary and artistic society; Katherine Mansfield and D.H. Lawrence; literary friends, criticism, literary enthusiasms.",N/A,N/A,N/A,N/A,N/A
Mursell,Arthur,N/A,N/A,N/A,N/A,Memories of My Life,1913,N/A,N/A,N/A,Leicester,N/A,N/A,N/A,N/A,N/A,"Leicester boyhood; his Baptist ministry in Glasgow, London, Manchester, Birmingham; social life and changes; friends; pleasant.",Baptist Minister,N/A,N/A,N/A,N/A
Muspratt,Edmund Knowles,N/A,N/A,N/A,N/A,My Life and Work,1917,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"The work, travel and friends of an engineer and chemist in later 19th Century.","Engineer, Chemist",N/A,N/A,N/A,N/A
Muspratt,Eric,N/A,N/A,N/A,N/A,Fire of Youth,1946,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Romantic account of a lifetime of travels in England, America, Australia, S. Africa, Europe, Russia; work as a writer.",Writer,N/A,N/A,N/A,N/A
Mustarde,John Clark,N/A,N/A,N/A,N/A,The Sun Stood Still,1944,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Doctor in British Army; North African campaign; capture at Tobruk; prison experiences.,Doctor,N/A,N/A,N/A,N/A
Muhs,Bessy,N/A,N/A,N/A,N/A,Captured,1941,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Her work as ambulance driver in WW2; German blitz in France; captured; prison life at Cherche-Midi; good.,Ambulance Driver,N/A,N/A,N/A,N/A
Myers,Frederic W. H.,N/A,N/A,N/A,N/A,Fragments of Prose and Poetry,1904,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Six chapters on the phases of thought through which he passed; Hellenism, Christianity, agnosticism, spirituality; his spiritual pilgrimage; good.",N/A,N/A,N/A,N/A,N/A
Anon,N/A,N/A,N/A,N/A,N/A,My Father's Friends,1833,N/A,N/A,N/A,Derby,N/A,N/A,N/A,N/A,N/A,Childhood and schooling in Derby; his games; religious training.,N/A,N/A,N/A,N/A,N/A
Anon,N/A,N/A,N/A,N/A,N/A,My Name is Million,1940,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,An Englishwoman married to a Pole; life in Warsaw; Nazi and Russian activities and the political scene; her escape to England; knowledgeable.,N/A,N/A,N/A,N/A,N/A
Hyson,Sonia,N/A,N/A,N/A,N/A,My Desert Adventure,1940,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Trip to India as lady's companion; adventure in Syria as a dancer and foster-mother to a Sheik's son; a love-affair, marriage, and settlement in Syria.",N/A,N/A,N/A,N/A,N/A
Musters,George C.,N/A,N/A,N/A,N/A,At Home with the Patagonian,1871,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Travels among the Indians in Patagonia; from the straits to the Rio Negro.,N/A,N/A,N/A,N/A,N/A
Muter,Mrs. Dunbar Douglas (Elizabeth),N/A,N/A,N/A,N/A,Travels and Adventures,1864,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Experiences of an officer's wife in India, China and New Zealand; Indian Mutiny; social life in China & pioneer life in New Zealand.",N/A,N/A,N/A,N/A,N/A
Myall,Laura Hain (Friswell),N/A,N/A,N/A,N/A,In the Sixties and Seventies,1906,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Youthful memories of social life and literary society; Dickens and others.,N/A,N/A,N/A,N/A,N/A
Napier,"Archibald, 1st Lord",N/A,N/A,N/A,N/A,Memoirs,"Edinburgh, 1793",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Public life in Scotland in early 17th Century; work as Treasurer-Depute; rivalries of courtiers and his own complaints.,Treasurer-Depute,N/A,N/A,N/A,N/A
Napier,David,N/A,N/A,N/A,N/A,An Autobiographical Sketch,"Glasgow, 1912",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Work as engineer and shipbuilder, Glasgow and London; inventions and patents; 1st half of 19th Century.","Engineer, Shipbuilder",N/A,N/A,N/A,N/A
Napier,Elma,N/A,N/A,N/A,N/A,Winter is in July,1949,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Her two marriages and family; social life; residence in Australia in 1914-22; nostalgia for pre-war life & society; anecdotes.,N/A,N/A,N/A,N/A,N/A
